epoch,loss,val_loss
0,21.7995501054,0.0791755242526
1,2.57173262248,0.078690322512
2,4.54476459209e+12,0.126336250334
3,117.045108664,0.171927813058
4,0.0760959899797,0.072851831463
5,9.18027296859,0.072585809917
6,80.3723926107,0.0862937539483
7,0.0773609195224,0.0661087520945
8,0.0526426540155,0.162302309371
9,0.0778413424975,0.0678847488208
10,0.075806924065,0.0749191107185
11,0.0789862806583,0.0625496356269
12,0.0649698485998,0.112196664642
13,0.0479772550567,0.183064139111
14,0.0741080222779,0.0809361915179
15,100.506318062,0.143245285557
16,0.0790842076411,0.0621810052982
17,0.0761808484192,0.0741168121524
18,0.0541607849088,0.158271872847
19,0.0794806064969,0.0613433629428
20,0.0764828693673,0.0731093393497
21,0.0677267159802,0.107433200303
22,0.0653105226731,0.116075291365
23,0.0817751734072,0.0518939548364
24,0.0654523259581,0.112277174763
25,0.0736266388392,0.081632609762
26,0.0809015074608,0.053626539304
27,0.0596012360652,0.135774451504
28,0.0858880040949,0.0269911928592
29,0.0802475975214,0.0532085416538
30,4.63308463222,0.115297779327
31,0.0745697517407,0.0717289004046
32,0.0732039729117,0.078319385818
33,0.0825163129207,0.037714635464
34,0.0595041892709,0.130528111915
35,0.0777593482348,0.0588110493151
36,0.083649526755,0.0380287428995
37,0.0754015380273,0.0719355229282
38,0.070969271632,0.0861774072363
39,0.0737734643994,0.0747958132207
40,0.0729240780759,0.0806391766106
41,0.0795221178043,0.0553247879209
42,0.0841337276099,0.035227865628
43,0.0605280585249,0.125332724715
44,0.08086642408,0.0504568464726
45,0.0726186237532,0.0820467155064
